,index,Unnamed: 0,url,name,active_from,active_to,position,college,height,weight,birth_date,NBA_fg%,NBA_g_played,NBA_ppg,NBA_ft%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft_per_g,NBA_fta_p_g,NBA__3ptpg,NBA__3ptapg,NBA__3ptpct,NBA_efgpct,NBA_PER,NBA_vorp,NBA_bpm,NBA_ws_per_48,NBA_ws,NCAA_fgpct,NCAA_games,NCAA_ppg,NCAA_ft,NCAA_fgpg,NCAA_fgapg,NCAA_ftpg,NCAA_ftapg,NCAA__3ptpg,NCAA__3ptapg,NCAA__3ptpct
141,388,388,/players/b/blossja01.html,Jaron Blossomgame,2019,2019,F,Clemson,6-8,220.0,"September 16, 1993",0.443,27,4.2,0.769,1.7,3.9,0.4,0.5,0.4,1.4,0.256,0.491,10.2,-0.2,-3.8,0.03,0.3,0.488,128.0,13.5,0.724,4.9,10.0,3.0,4.1,0.8,2.4,0.316
142,389,389,/players/b/blounco01.html,Corie Blount,1994,2004,F,Cincinnati,6-9,240.0,"January 4, 1969",0.471,644,3.6,0.587,1.5,3.2,0.6,1.0,0.0,0.0,0.115,0.471,11.1,-1.1,-2.5,0.088,18.2,0.511,55.0,9.4,0.559,4.0,7.8,1.5,2.6,0.0,0.0,0.0
143,390,390,/players/b/blounma01.html,Mark Blount,2001,2009,C,Pitt,7-0,230.0,"November 30, 1975",0.504,605,8.2,0.723,3.3,6.6,1.4,2.0,0.1,0.2,0.359,0.508,12.5,-2.5,-2.7,0.065,18.8,0.466,56.0,6.4,0.518,2.4,5.2,1.6,3.0,0.0,0.0,0.5
144,391,391,/players/b/blueva01.html,Vander Blue,2014,2018,G,Marquette,6-4,200.0,"July 17, 1992",0.308,10,3.0,0.333,1.2,3.9,0.4,1.2,0.2,1.3,0.154,0.333,1.7,-0.3,-9.8,-0.144,-0.4,0.429,106.0,9.3,0.704,3.3,7.7,2.1,3.0,0.5,1.8,0.277
145,397,397,/players/b/boganke01.html,Keith Bogans,2004,2014,G-F,Kentucky,6-5,215.0,"May 12, 1980",0.394,671,6.3,0.716,2.2,5.6,0.9,1.2,1.1,3.0,0.353,0.489,9.6,1.9,-1.5,0.068,20.4,0.437,135.0,14.2,0.688,5.0,11.4,2.4,3.5,1.9,5.5,0.342
146,401,401,/players/b/bogutan01.html,Andrew Bogut,2006,2019,C,Utah,7-0,260.0,"November 28, 1984",0.535,706,9.6,0.557,4.2,7.9,1.2,2.1,0.0,0.0,0.12,0.535,16.4,16.0,1.2,0.122,50.6,0.603,68.0,16.6,0.674,6.6,10.9,3.2,4.7,0.2,0.5,0.361
147,403,403,/players/b/bolbo01.html,Bol Bol,2020,2022,F-C,Oregon,7-2,220.0,"November 16, 1999",0.478,53,2.7,0.667,1.0,2.1,0.4,0.6,0.3,0.7,0.378,0.54,11.7,-0.1,-3.1,0.031,0.2,0.561,9.0,21.0,0.757,8.2,14.7,3.1,4.1,1.4,2.8,0.52
148,405,405,/players/b/boldejo01.html,Jonah Bolden,2019,2020,F,UCLA,6-8,220.0,"January 2, 1996",0.486,51,4.3,0.484,1.6,3.4,0.3,0.6,0.7,2.0,0.34,0.584,12.2,0.1,-1.3,0.098,1.4,0.415,31.0,4.6,0.733,1.6,4.0,1.1,1.5,0.3,1.2,0.25
149,409,409,/players/b/bolomjo01.html,Joel Bolomboy,2017,2018,F,Weber State,6-9,235.0,"January 28, 1994",0.545,18,1.7,0.5,0.7,1.2,0.3,0.7,0.1,0.3,0.2,0.568,16.4,0.0,-0.1,0.132,0.3,0.528,130.0,11.4,0.713,3.8,7.2,3.6,5.0,0.3,0.7,0.371
150,413,413,/players/b/bondwa01.html,Walter Bond,1993,1995,G,Minnesota,6-5,200.0,"February 1, 1969",0.409,153,5.7,0.767,2.2,5.3,1.1,1.5,0.3,0.9,0.299,0.434,9.2,-1.2,-4.0,0.013,0.7,0.48,103.0,7.3,0.635,3.0,6.2,1.1,1.7,0.2,0.9,0.256
